Date,Predicted_Price,Std_unscaled_approx,CI95_lower,CI95_upper
2026-04-25,4892.3051992577675,82.915536361063,4729.7937342312625,5054.8166642842725
2026-04-26,4758.948556158226,84.60907017521663,4593.117825849379,4924.779286467073
2026-04-27,4982.976286364261,95.15047688091727,4796.484778565852,5169.46779416267
2026-04-28,4958.154261197866,85.15576564487787,4791.252027457972,5125.056494937759
2026-04-29,4977.943478565809,78.06351725684067,4824.94179623588,5130.945160895737
2026-04-30,4863.026833074779,82.96807761547143,4700.412389081931,5025.641277067626
2026-05-01,4818.564787876072,83.0135555408674,4655.861208787356,4981.268366964788
2026-05-02,4933.8504613284895,79.7553471977676,4777.532853246377,5090.168069410602
2026-05-03,4853.394930662849,95.2206222437087,4666.765940479687,5040.023920846012
2026-05-04,5005.1690182852835,87.15199253775268,4834.354251730385,5175.983784840182
2026-05-05,4882.525586526841,83.7581636306868,4718.362602399482,5046.6885706542
2026-05-06,4927.413166319035,80.11446945980538,4770.391691537282,5084.434641100787
2026-05-07,4995.054578975556,85.53917584527426,4827.40087505158,5162.708282899532
2026-05-08,4822.266467950809,81.23105630964574,4663.056523157758,4981.476412743859
2026-05-09,5001.811334725258,86.4844227524145,4832.30498090679,5171.317688543727
2026-05-10,4950.385094956378,81.06195463677523,4791.506583351879,5109.263606560878
2026-05-11,4879.5317263699835,78.52521268712508,4725.625137624871,5033.438315115096
2026-05-12,4869.105013567074,93.3615416558257,4686.119754380519,5052.090272753629
2026-05-13,4757.443695324415,83.22931236063596,4594.317240639534,4920.5701500092955
2026-05-14,4775.002387741057,82.30537161370762,4613.686823644004,4936.317951838109
2026-05-15,4897.040108057168,87.76997186731592,4725.014124273135,5069.066091841201
2026-05-16,4760.4861313579895,78.05686440637828,4607.497488375361,4913.474774340618
2026-05-17,4677.04838883246,82.87377597725254,4514.618772654204,4839.478005010716
2026-05-18,4806.0842572652255,90.62430029666416,4628.463892559621,4983.70462197083
2026-05-19,4822.54825760299,85.42618581570991,4655.1160100675725,4989.980505138407
2026-05-20,4886.855531129528,86.72607844522872,4716.875540856484,5056.835521402571
2026-05-21,4879.586745985449,83.48195029088401,4715.965130056154,5043.208361914744
2026-05-22,4842.640330692098,84.59526880208045,4676.836650577536,5008.444010806661
2026-05-23,4966.562348919848,91.57468980299768,4787.079255010545,5146.0454428291505
2026-05-24,4925.456748100638,83.10878656448267,4762.566519635426,5088.34697656585
