Date,Predicted_Price,Std_unscaled_approx,CI95_lower,CI95_upper
2026-04-28,81351.610599308,1400.989696648192,78605.72125116584,84097.49994745015
2026-04-29,80844.53761517866,1611.1057644735092,77686.82834152572,84002.2468888316
2026-04-30,81201.18311008574,1480.1170905681288,78300.20691967,84102.15930050147
2026-05-01,83593.82037172923,1425.005250959403,80800.86140206835,86386.77934139012
2026-05-02,81151.71798197973,1627.810244089097,77961.26852989975,84342.16743405971
2026-05-03,79503.21536786093,1547.5162372173027,76470.13927742408,82536.29145829778
2026-05-04,82329.31168979272,1652.7669169840956,79089.9480576646,85568.67532192085
2026-05-05,83292.98017222947,1456.3502381866788,80438.58615650724,86147.37418795169
2026-05-06,83936.56626909114,1477.3461538864553,81041.02101477492,86832.11152340737
2026-05-07,84403.17450247228,1571.438153058209,81323.21231854605,87483.1366863985
2026-05-08,83074.86511601423,1569.2086106888137,79999.27275483402,86150.45747719445
2026-05-09,83029.44202929962,1288.2082208430024,80504.60031185891,85554.28374674033
2026-05-10,83797.10475687953,1472.7326984512442,80910.6017090606,86683.60780469846
2026-05-11,82125.27357845976,1647.06720910915,78897.08116848892,85353.4659884306
2026-05-12,82396.10513062782,1609.448328910968,79241.64437098416,85550.5658902715
2026-05-13,79814.34171291247,1803.543789697286,76279.4608405649,83349.22258526004
2026-05-14,81702.86177937829,1658.695352121277,78451.8786278966,84953.84493085998
2026-05-15,83856.41266219455,1590.722482218166,80738.65388764879,86974.1714367403
2026-05-16,81762.50221095038,1402.6286585297853,79013.40055654827,84511.60386535249
2026-05-17,81425.66050201941,1522.3519663326524,78441.90547621368,84409.41552782514
2026-05-18,84472.66510072576,1504.8915667847791,81523.13182918954,87422.19837226198
2026-05-19,81061.38907161706,1667.8382077433864,77792.48625240018,84330.29189083393
2026-05-20,82411.16487533653,1520.6967245197238,79430.65406386985,85391.67568680321
2026-05-21,82511.04837348544,1526.8548106031883,79518.46793508145,85503.62881188942
2026-05-22,82906.08217740218,1390.2642238713802,80181.21436961975,85630.9499851846
2026-05-23,82872.7630464446,1539.0865811402866,79856.20877832075,85889.31731456844
2026-05-24,81778.16789239417,1535.3736021907778,78768.89092928672,84787.44485550161
2026-05-25,81299.7365032064,1491.9220036148256,78375.62310837851,84223.84989803428
2026-05-26,82212.89794193167,1342.7577677878778,79581.14107710603,84844.65480675732
2026-05-27,83391.31927065113,1366.232620549846,80713.55253986966,86069.0860014326
