Date,Predicted_Price,Std_unscaled_approx,CI95_lower,CI95_upper
2026-04-10,70626.62645135722,1293.5359149678604,68091.34264531115,73161.9102574033
2026-04-11,71184.8198054055,1237.2276735967484,68759.89812447959,73609.7414863314
2026-04-12,72924.43461395915,1186.828931839846,70598.29265174292,75250.57657617539
2026-04-13,73718.10828431365,1187.7558487814053,71390.1495982753,76046.06697035201
2026-04-14,72015.65513235472,1225.781496341958,69613.16754660886,74418.14271810057
2026-04-15,71260.3254341756,1391.7771028805043,68532.49243802231,73988.15843032888
2026-04-16,72379.82311014376,1213.9609961269616,70000.50327909854,74759.14294118897
2026-04-17,72245.43077598423,1147.351483877803,69996.66318997515,74494.19836199332
2026-04-18,73010.0933777782,1349.8195632512106,70364.49564817824,75655.69110737817
2026-04-19,71003.87379525736,1238.8826844886653,68575.70835258928,73432.03923792543
2026-04-20,73699.54592969724,1209.314518987056,71329.33302650123,76069.75883289325
2026-04-21,71012.11305696011,1147.358988810688,68763.33076155286,73260.89535236736
2026-04-22,72917.21509944473,1242.1137312864466,70482.71692142064,75351.71327746882
2026-04-23,71559.86508653664,1235.7557830672274,69137.82825803779,73981.90191503549
2026-04-24,72485.73641775404,1302.970885669958,69931.96040893668,75039.51242657141
2026-04-25,71114.27990207417,1219.3967612853646,68724.30616709006,73504.25363705827
2026-04-26,72192.49259586004,1389.869002559602,69468.3994076146,74916.58578410547
2026-04-27,71206.16060163647,1070.594840526007,69107.83327217109,73304.48793110184
2026-04-28,69884.21355089686,1233.281233504261,67467.02675041938,72301.40035137435
2026-04-29,69223.45432022605,1204.2576952090963,66863.15260951102,71583.75603094109
2026-04-30,70065.44775046778,1208.77589572692,67696.29052946287,72434.60497147268
2026-05-01,70498.21220035244,1204.9286362090215,68136.59546944179,72859.8289312631
2026-05-02,69903.20449491126,1158.2240533391623,67633.1270643385,72173.28192548401
2026-05-03,68896.4258306146,1105.5752172428101,66729.53822261863,71063.31343861055
2026-05-04,70256.80552719813,1235.707636036257,67834.86306514594,72678.74798925032
2026-05-05,70195.84976954256,1270.2287108604942,67706.24724412725,72685.45229495787
2026-05-06,70743.18059919348,1209.3903765394484,68372.81901792683,73113.54218046014
2026-05-07,71032.62623228462,1281.738160472531,68520.46560014783,73544.7868644214
2026-05-08,69964.45583146201,1141.2363491025426,67727.67368937304,72201.23797355097
2026-05-09,72243.34694477332,1251.9711719797206,69789.52853801067,74697.16535153598
