Date,Predicted_Price,Std_unscaled_approx,CI95_lower,CI95_upper
2026-05-15,81115.09575686869,1582.9083460982315,78012.65240768829,84217.53910604908
2026-05-16,83487.7075483647,1314.647637555079,80911.04552639609,86064.36957033332
2026-05-17,85403.97508361422,1634.1008788333625,82201.19621399557,88606.75395323287
2026-05-18,82785.66333551162,1775.3444084934076,79306.05223470998,86265.27443631327
2026-05-19,84865.40077873258,1722.4760819752937,81489.40969382935,88241.39186363581
2026-05-20,86868.39855129612,1599.583036903291,83733.27340868447,90003.52369390777
2026-05-21,87638.35940478595,1490.607947596903,84716.82151242686,90559.89729714504
2026-05-22,88911.51376940605,1627.4926122372997,85721.68686431594,92101.34067449617
2026-05-23,85521.97017856441,1800.619636924251,81992.8205403373,89051.11981679153
2026-05-24,88472.56433114005,1468.0480038838778,85595.24311595173,91349.88554632837
2026-05-25,85040.75295828971,1693.7999643424548,81720.96603116328,88360.53988541615
2026-05-26,83553.23738942297,1832.0334386130576,79962.5178312683,87143.95694757764
2026-05-27,84178.43108953295,1555.1504858690073,81130.39214668973,87226.47003237618
2026-05-28,85050.33710396546,1909.8076354035634,81307.18292117487,88793.49128675605
2026-05-29,86349.91622181339,1656.7744356842168,83102.69799736564,89597.13444626113
2026-05-30,83844.30870643751,1648.761707494093,80612.79514066032,87075.8222722147
2026-05-31,84096.64440924057,1800.2359616630652,80568.24676070713,87625.04205777402
2026-06-01,86381.13674261527,1785.7378168551818,82881.15493574794,89881.1185494826
2026-06-02,84859.94734811678,1558.2010678960291,81805.92937436872,87913.96532186485
2026-06-03,87257.09218791156,1610.5723369361397,84100.42841302021,90413.75596280291
2026-06-04,86192.77170219849,1721.8861942505273,82817.93677599072,89567.60662840625
2026-06-05,83247.44624342918,1745.1312806057063,79827.05178514773,86667.84070171062
2026-06-06,83491.19537932766,1689.0842108989948,80180.65115911038,86801.73959954495
2026-06-07,82904.89247234912,1522.945086951585,79919.9749514918,85889.80999320645
2026-06-08,83478.64066575549,1728.0097576427204,80091.80377584197,86865.47755566901
2026-06-09,84493.9467811777,1467.8318618167878,81617.04919665642,87370.84436569898
2026-06-10,83505.31666104421,1780.910528562999,80014.79616537255,86995.83715671588
2026-06-11,84017.88002315126,1488.0190921330716,81101.41619426245,86934.34385204007
2026-06-12,82949.69484338388,1680.0990743279776,79656.76116724196,86242.62851952581
2026-06-13,83344.57346838067,1894.927547242083,79630.58372247336,87058.56321428798
