Date,Predicted_Price,Std_unscaled_approx,CI95_lower,CI95_upper
2026-04-28,2154.3545384937206,38.96483934565651,2077.9848567128447,2230.7242202745965
2026-04-29,2058.2680338823366,38.89096842509488,1982.043136445266,2134.492931319407
2026-04-30,2002.0023101641084,37.562277743745305,1928.3815986090772,2075.6230217191396
2026-05-01,1985.1333732780192,36.99470644793458,1912.6250810214358,2057.641665534603
2026-05-02,1997.9611388751641,32.42734908595638,1934.4047025525817,2061.5175751977463
2026-05-03,2001.8000040222148,37.88045455156741,1927.5556773831363,2076.0443306612933
2026-05-04,1982.2153547586506,31.649723800488335,1920.1830359890532,2044.247673528248
2026-05-05,1939.7067316348396,37.34985629475704,1866.502358469369,2012.91110480031
2026-05-06,1879.7191407970756,34.387245098373356,1812.3213788767123,1947.116902717439
2026-05-07,1957.2212090282437,35.90552263030909,1886.84767782675,2027.5947402297375
2026-05-08,2005.9946733279105,30.312438644928942,1946.5833853002696,2065.4059613555514
2026-05-09,2018.1797278742704,40.090467889695894,1939.6038546871068,2096.755601061434
2026-05-10,2041.9013255303187,29.552895355097803,1983.978714995446,2099.8239360651914
2026-05-11,1955.4286068436747,34.351523209682355,1888.1008585386055,2022.756355148744
2026-05-12,1955.7965776653987,35.14797101261351,1886.9078203510185,2024.6853349797789
2026-05-13,1968.5514847568966,37.75823971357558,1894.5466947986586,2042.5562747151346
2026-05-14,2017.3415013772637,31.767528665216645,1955.0782893155954,2079.6047134389323
2026-05-15,2040.0418066988157,34.83580901043052,1971.764875666056,2108.3187377315753
2026-05-16,1970.6267496488106,32.8384359620688,1906.2645978545308,2034.9889014430903
2026-05-17,2063.788869463634,34.8119177868555,1995.5587643686279,2132.01897455864
2026-05-18,2033.0005626511334,37.16603888287654,1960.15646499268,2105.8446603095867
2026-05-19,2054.6896202088706,33.82599365898389,1988.391890895982,2120.9873495217594
2026-05-20,2089.572857984385,32.68018092152634,2025.5208803699402,2153.6248355988296
2026-05-21,2010.0276391929178,30.3366503928765,1950.568897011297,2069.4863813745387
2026-05-22,2028.3663372735052,32.331231563427785,1964.9982878333622,2091.7343867136483
2026-05-23,1983.9834821442353,32.384955869290785,1920.5101349995064,2047.4568292889642
2026-05-24,1989.0527364633479,32.82549561946996,1924.7159472745095,2053.3895256521864
2026-05-25,2043.368257268287,34.41824533147995,1975.9097360075223,2110.8267785290514
2026-05-26,2005.6627780769438,36.457991701891046,1934.2064273925773,2077.1191287613105
2026-05-27,2038.0111057472488,35.832246337721344,1967.7811934401477,2108.2410180543498
