Date,Predicted_Price,Std_unscaled_approx,CI95_lower,CI95_upper
2026-04-28,274.65861825756593,4.41259374557923,266.01009343782397,283.3071430773079
2026-04-29,274.4435709136657,4.526278553286911,265.57222796522734,283.3149138621041
2026-04-30,273.84202853743506,4.824768465134355,264.3856561120271,283.298400962843
2026-05-01,280.12084242250995,5.062406479209081,270.1987080481579,290.042976796862
2026-05-02,276.4794832451874,5.2720704939268614,266.14641495313447,286.8125515372403
2026-05-03,275.2865645357095,4.469246163779861,266.52700301665715,284.0461260547618
2026-05-04,279.52364147193026,5.101653121593053,269.5245850919915,289.522697851869
2026-05-05,273.5905966475987,4.4667201029473524,264.8359861168009,282.34520717839655
2026-05-06,271.65308481419476,5.44004243466345,260.9907975678848,282.3153720605047
2026-05-07,262.02846859415746,5.085189790490663,252.061679750245,271.9952574380699
2026-05-08,266.81047942409936,4.621723772666897,257.75206728317966,275.86889156501906
2026-05-09,263.8261278119292,5.515081698178381,253.01676631170358,274.63548931215485
2026-05-10,271.00613514263233,5.193428986552728,260.82720137272264,281.185068912542
2026-05-11,266.4015820174133,4.961337008560385,256.6775401654693,276.12562386935736
2026-05-12,271.02563293327836,4.744538030734269,261.7265092697586,280.3247565967981
2026-05-13,275.056129078114,5.076644057169677,265.10608956373216,285.00616859249584
2026-05-14,270.74809068988276,5.281804422146319,260.3959442490916,281.1002371306739
2026-05-15,268.0950470195616,4.25034937740687,259.7645153181319,276.4255787209913
2026-05-16,274.3958924810717,5.354007178132392,263.9022312389633,284.88955372318014
2026-05-17,269.56586332044213,4.744440020346463,260.2669317537526,278.86479488713167
2026-05-18,278.11113314402763,5.398027360931312,267.53119392904046,288.6910723590148
2026-05-19,275.43199457006057,4.39170980801995,266.82440151579016,284.039587624331
2026-05-20,272.98594883878496,5.016526995900605,263.15373659934687,282.81816107822306
2026-05-21,266.5233891342543,4.938642534280557,256.84382763454676,276.2029506339618
2026-05-22,272.7822417312827,5.278056852539681,262.4374403919501,283.1270430706153
2026-05-23,266.67013241124,4.49672624871944,257.856710915414,275.483553907066
2026-05-24,264.02490639707327,4.684076726083397,254.8442847131275,273.205528081019
2026-05-25,261.9946487338372,4.756044836510487,252.67297214541895,271.31632532225547
2026-05-26,272.287087458371,4.211696591067238,264.03231382606907,280.5418610906729
2026-05-27,270.84544059389276,4.800235451166035,261.43715199229496,280.25372919549056
